Link,Topik,Raw Dataframe,Clean Dataframe
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"JAKARTA, KOMPAS.com - Sekretaris Eksekutif Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional (KPCPEN)  Raden Pardede mengungkap alasan  Presiden Joko Widodo akhirnya menggratiskan  vaksin Covid-19.",jakarta kompascom sekretaris eksekutif komite tangan covid dan pulih ekonomi nasional kpcpen raden pardede ungkap alas presiden joko widodo akhir gratis vaksin covid
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Menurutnya, Jokowi mempertimbangkan penggunaan vaksin untuk membangun herd immunity atau kekebalan komunitas.",turut jokowi timbang guna vaksin untuk bangun herd immunity atau kebal komunitas
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Herd immunity tidak hanya berkaitan dengan tingkat efektivitas vaksin corona, tapi juga dengan jumlah masyarakat yang mendapatkan program vaksinasi Covid-19 gratis.",herd immunity tidak hanya kait dengan tingkat efektivitas vaksin corona tapi juga dengan jumlah masyarakat yang dapat program vaksinasi covid gratis
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Terkait hal ini, kata Raden, Jokowi mendapat masukan dari banyak pihak.",kait hal ini kata raden jokowi dapat masuk dari banyak pihak
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Presiden mendengarkan berdasarkan pertemuan lewat kami, waktu itu lewat Menko Perekonomian, kita mendengarkan ITAGI (Indonesian Technical Advisory Group on Immunization). Organisasi dunianya ada SAGE (The Strategic Advisory Group of Experts on Immunization),"" kata Raden seperti dilansir dari Kontan.co.id, Kamis (17/12/2020).",presiden dengar dasar temu lewat kami waktu itu lewat menko ekonomi kita dengar itagi indonesian technical advisory group on immunization organisasi dunia ada sage the strategic advisory group of experts on immunization kata raden seperti lansir dari kontancoid kamis
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Mereka itu punya ini kriteria-kriteria tertentu supaya masyarakat mendapatkan herd immunity,"" tuturnya.",mereka itu punya ini kriteriakriteria tentu supaya masyarakat dapat herd immunity tutur
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,Baca juga: Jokowi: Vaksin Covid-19 Gratis untuk Masyarakat,baca juga jokowi vaksin covid gratis untuk masyarakat
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Raden menyebut, masukan dari berbagai pihak ini mendapat dukungan dari DPR, khususnya Komisi IX yang membidangi kesehatan.",raden sebut masuk dari bagai pihak ini dapat dukung dari dpr khusus komisi ix yang bidang sehat
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"DPR mendorong penerapan prinsip keadilan dalam program vaksinasi. Jika pun harus ada vaksin berbayar, porsinya tidak boleh terlalu besar.",dpr dorong terap prinsip adil dalam program vaksinasi jika pun harus ada vaksin bayar porsi tidak boleh terlalu besar
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Karena dalam prinsip-prinsip itu disebutkan persoalan equality, keadilan. Memang jadi bagus sekali itu masukan dari Komisi IX itu. Sehingga akhirnya Presiden memutuskan program vaksinasi dilakukan gratis,"" kata Raden.",karena dalam prinsipprinsip itu sebut soal equality adil memang jadi bagus sekali itu masuk dari komisi ix itu sehingga akhir presiden putus program vaksinasi laku gratis kata raden
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Sebelumnya, Jokowi mengumumkan bahwa pemerintah akan menggratiskan vaksin Covid-19.",belum jokowi umum bahwa perintah akan gratis vaksin covid
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,Keputusan ini diambil setelah para pemangku kepentingan menerima banyak masukan dari masyarakat dan menghitung ulang keuangan negara.,putus ini ambil telah para mang penting terima banyak masuk dari masyarakat dan hitung ulang uang negara
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Jadi setelah menerima banyak masukan dari masyarakat dan setelah melakukan kalkulasi ulang, melakukan perhitungan ulang mengenai keuangan negara, dapat saya sampaikan bahwa vaksin Covid-19 untuk masyarakat adalah gratis,"" kata Jokowi melalui tayangan YouTube Sekretariat Presiden, Rabu (16/12/2020).",jadi telah terima banyak masuk dari masyarakat dan telah laku kalkulasi ulang laku hitung ulang kena uang negara dapat saya sampai bahwa vaksin covid untuk masyarakat adalah gratis kata jokowi lalu tayang youtube sekretariat presiden rabu
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Baca juga: Soal Vaksin Gratis yang Digunakan untuk Vaksinasi Covid-19, Satgas: Tunggu Pemerintah",baca juga soal vaksin gratis yang guna untuk vaksinasi covid satgas tunggu perintah
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Sekali lagi gratis, tidak dikenakan biaya sama sekali,"" tuturnya.",sekali lagi gratis tidak kena biaya sama sekali tutur
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Atas keputusan ini, Jokowi menginstruksikan jajarannya di seluruh kementerian/lembaga serta pemerintah daerah untuk memprioritaskan program vaksinasi pada tahun anggaran 2021.",atas putus ini jokowi instruksi jajar di seluruh kementerianlembaga serta perintah daerah untuk prioritas program vaksinasi pada tahun anggar
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,Ia juga memerintahkan Menteri Keuangan Sri Mulyani untuk memprioritaskan dan merealokasi anggaran lain untuk program vaksinasi gratis.,ia juga perintah menteri uang sri mulyani untuk prioritas dan realokasi anggar lain untuk program vaksinasi gratis
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"""Sehingga tidak ada alasan bagi masyarakat untuk tidak mendapatkan vaksin,"" ujar Jokowi.",sehingga tidak ada alas bagi masyarakat untuk tidak dapat vaksin ujar jokowi
https://nasional.kompas.com/read/2020/12/17/09084331/alasan-jokowi-putuskan-vaksin-covid-19-digratiskan-untuk-masyarakat?page=all#page2,Vaksin Covid19 Gratis,"Artikel ini telah tayang di Kontan.co.id dengan judul ""Ini lo latar belakang keputusan Presiden Joko Widodo menggratiskan vaksin Covid-19""",artikel ini telah tayang di kontancoid dengan judul ini lo latar belakang putus presiden joko widodo gratis vaksin covid
